employee_id,employee_name,employment_status,gender,age,age_band,division_of_origin,disability_status,education,department,department_key,cost_center,job_title,job_level,employment_type,location,location_key,join_date,exit_date,manager,monthly_gross_bdt,annual_total_reward_bdt,compa_ratio,goal_completion_percent,overall_performance_score,performance_rating,potential,promotion_readiness,leave_transactions,approved_leave_days,training_programs,training_hours,training_cost_bdt,average_training_feedback,average_pre_assessment,average_post_assessment,assessment_improvement,exit_type,exit_reason,regrettable_exit,tenure_at_exit_years
MG-CTG-CST-0229,Afroza Islam,Active at FY2025 year-end,Female,36,35-44,Chattogram,No,Master,Corporate Strategy,corporate_strategy,CC-112,Senior Strategy Officer,Senior Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-12-04,,Anika Tasnim,57000,793200,0.81428571,98.2,90.7,Exceeds Expectations,High,Ready Now,3,9.0,5,50.0,6505.0,4.3,63.4,75.4,12.0,,,,
MG-CTG-CST-0318,Raisa Ferdous,Active at FY2025 year-end,Female,41,35-44,Barishal,Yes,Bachelor,Corporate Strategy,corporate_strategy,CC-112,Senior Strategy Officer,Senior Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2021-07-05,,Anika Tasnim,74500,1032700,1.06428571,92.7,85.8,Meets Expectations,Low,Develop in Current Role,3,115.0,2,18.0,3916.0,4.1,54.0,65.5,11.5,,,,
MG-CTG-CUS-0066,Nusrat Alam,Active at FY2025 year-end,Female,44,35-44,Sylhet,No,Bachelor,Customer Service,customer_service,CC-110,Service Quality Executive,Executive,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-09-02,,Jannatul Ferdous,74000,1103900,0.82222222,93,85.7,Meets Expectations,Medium,Ready in 1-2 Years,1,0.0,4,38.0,5000.0,4.12,70.25,81.5,11.25,,,,
MG-CTG-ENG-0081,Nadia Jahan,Active at FY2025 year-end,Female,43,35-44,Dhaka,No,Master,Engineering & Maintenance,engineering_and_maintenance,CC-107,Senior Manager - Engineering,Senior Manager,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2018-04-23,,Md. Moniruzzaman,178500,2551300,0.83023256,82.8,84,Meets Expectations,Medium,Ready in 1-2 Years,0,0.0,2,18.0,1901.0,4.2,65.5,78.5,13.0,,,,
MG-CTG-ENG-0147,Mahmud Islam,Active at FY2025 year-end,Male,22,Under 25,Rajshahi,No,Bachelor,Engineering & Maintenance,engineering_and_maintenance,CC-107,Technical Assistant,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2021-10-10,,Md. Moniruzzaman,40000,561400,1.09589041,81.6,80,Meets Expectations,Low,Develop in Current Role,1,2.0,2,18.0,1178.0,3.4,63.5,81.5,18.0,,,,
MG-CTG-ENG-0155,Imran Rahman,Separated during FY2025,Male,,,,,,Engineering & Maintenance,engineering_and_maintenance,CC-107,Electrician,Worker,,Chattogram Distribution Hub,chattogram_distribution_hub,2022-08-17,2025-09-21,Rakibul Hasan,,,,,,,,,2,6.0,2,14.0,1095.0,4.55,57.5,73.5,16.0,Voluntary,Personal / Family Reasons,No,3.1
MG-CTG-FIN-0062,Imran Alam,Active at FY2025 year-end,Male,20,Under 25,Rajshahi,No,Trade Certificate,Finance & Accounts,finance_and_accounts,CC-104,Accounts Support Assistant,Worker,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-11-10,,Shafiqur Rahman,22000,315400,0.83018868,76.2,78.7,Meets Expectations,Medium,Ready in 1-2 Years,1,1.0,3,24.0,5589.0,4.53,59.33,79.67,20.34,,,,
MG-CTG-HRA-0220,Sumaiya Khatun,Active at FY2025 year-end,Female,45,45+,Dhaka,No,Master,HR & Administration,hr_and_administration,CC-105,HR Executive,Executive,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-02-28,,Md. Imran Hossain,94000,1351100,1.04444444,86,81.7,Meets Expectations,High,Ready in 1-2 Years,3,8.0,2,7.0,2748.0,4.1,68.5,83.5,15.0,,,,
MG-CTG-PRD-0023,Jahid Karim,Active at FY2025 year-end,Male,30,25-34,Barishal,No,HSC,Production,production,CC-101,Production Assistant,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2016-08-14,,Abdul Karim,31000,486400,0.84931507,84.7,84,Meets Expectations,High,Ready in 1-2 Years,2,5.0,2,24.0,3531.0,4.15,68.0,68.0,0.0,,,,
MG-CTG-PRD-0193,Tareq Mahmud,Active at FY2025 year-end,Male,29,25-34,Rajshahi,No,HSC,Production,production,CC-101,Production Operator,Worker,Contract,Chattogram Distribution Hub,chattogram_distribution_hub,2020-03-14,,Abdul Karim,26500,344500,1,88.2,83.7,Meets Expectations,Low,Develop in Current Role,2,4.0,3,22.0,5936.0,4.27,62.0,70.33,8.33,,,,
