leave_id,employee_id,employee_name,department,location,leave_type,start_date,end_date,leave_days,reason_category,approval_status,approved_by
LV-00001,MG-DHK-HRA-0001,Priyanka Kabir,HR & Administration,Dhaka Corporate Office,Annual Leave,2025-11-28,2025-11-30,3,Personal / Vacation,Approved,Nusrat Jahan
LV-00002,MG-RAJ-SAM-0002,Rakib Haque,Sales & Marketing,Rajshahi Regional Office,Annual Leave,2025-02-20,2025-02-21,2,Personal / Vacation,Approved,Tanvir Ahmed
LV-00003,MG-RAJ-SAM-0002,Rakib Haque,Sales & Marketing,Rajshahi Regional Office,Sick Leave,2025-03-13,2025-03-14,2,Fever / Flu,Pending,Tanvir Ahmed
LV-00004,MG-RAJ-SAM-0002,Rakib Haque,Sales & Marketing,Rajshahi Regional Office,Casual Leave,2025-01-27,2025-01-29,3,Urgent Personal Matter,Approved,Tanvir Ahmed
LV-00005,MG-DHK-SCL-0003,Riyad Akter,Supply Chain & Logistics,Dhaka Corporate Office,Casual Leave,2025-11-24,2025-11-25,2,Urgent Personal Matter,Approved,Mahmudul Hasan
LV-00006,MG-DHK-SCL-0003,Riyad Akter,Supply Chain & Logistics,Dhaka Corporate Office,Sick Leave,2025-06-16,2025-06-18,3,Minor Illness,Approved,Mahmudul Hasan
LV-00007,MG-DHK-LGL-0004,Sadia Chowdhury,Legal & Compliance,Dhaka Corporate Office,Casual Leave,2025-11-12,2025-11-12,1,Urgent Personal Matter,Rejected,Barrister Nafisa Karim
LV-00008,MG-DHK-LGL-0004,Sadia Chowdhury,Legal & Compliance,Dhaka Corporate Office,Casual Leave,2025-03-25,2025-03-27,3,Urgent Personal Matter,Approved,Barrister Nafisa Karim
LV-00009,MG-CTG-SCL-0005,Tareq Jahan,Supply Chain & Logistics,Chattogram Distribution Hub,Paternity Leave,2025-03-08,2025-03-14,7,New Child,Approved,Mahmudul Hasan
LV-00010,MG-CTG-SCL-0005,Tareq Jahan,Supply Chain & Logistics,Chattogram Distribution Hub,Annual Leave,2025-07-18,2025-07-19,2,Personal / Vacation,Approved,Mahmudul Hasan
LV-00011,MG-GZP-PRD-0006,Jahid Chowdhury,Production,Gazipur Manufacturing Unit,Annual Leave,2025-08-29,2025-08-30,2,Personal / Vacation,Approved,Abdul Karim
LV-00012,MG-GZP-PRD-0006,Jahid Chowdhury,Production,Gazipur Manufacturing Unit,Casual Leave,2025-09-18,2025-09-19,2,Urgent Personal Matter,Approved,Abdul Karim
LV-00013,MG-GZP-PRD-0006,Jahid Chowdhury,Production,Gazipur Manufacturing Unit,Annual Leave,2025-09-19,2025-09-19,1,Personal / Vacation,Approved,Abdul Karim
LV-00014,MG-DHK-SAM-0007,Tareq Akter,Sales & Marketing,Dhaka Corporate Office,Annual Leave,2025-01-31,2025-01-31,1,Personal / Vacation,Approved,Tanvir Ahmed
