Program ID,Program Name,Category,Training Date,Employee ID,Employee Name,Department,Job Level,Mode,Provider,Venue,Hours,Completion Status,Pre-Assessment Score,Post-Assessment Score,Feedback Rating,Cost (BDT),Mandatory
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-GZP-HRA-0154,Maliha Islam,HR & Administration,Officer,In-person,Internal HR,Dhaka Corporate Office,8,Not Completed,57,57,4.3,1320,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-GZP-PRD-0137,Rifat Rashid,Production,Junior Staff,In-person,Internal HR,Dhaka Corporate Office,8,Completed,50,65,4.3,2501,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-NGJ-PRD-0043,Ayesha Kabir,Production,Worker,In-person,Internal HR,Dhaka Corporate Office,8,Completed,70,92,4.4,429,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-GZP-PRD-0146,Asif Jahan,Production,Junior Staff,In-person,Internal HR,Dhaka Corporate Office,8,Completed,70,81,4.3,1162,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-NGJ-IT-0104,Tareq Hasan,Information Technology,Junior Staff,In-person,Internal HR,Dhaka Corporate Office,8,Completed,60,70,4.1,1478,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-GZP-SCL-0495,Nusrat Haque,Supply Chain & Logistics,Worker,In-person,Internal HR,Dhaka Corporate Office,8,Completed,68,82,4.9,1035,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-NGJ-SCL-0382,Kamrul Sultana,Supply Chain & Logistics,Worker,In-person,Internal HR,Dhaka Corporate Office,8,Completed,61,74,4.1,431,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-GZP-SCL-0334,Shafiq Islam,Supply Chain & Logistics,Officer,In-person,Internal HR,Dhaka Corporate Office,8,Completed,70,81,5,1823,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-GZP-PRD-0172,Raisa Talukder,Production,Worker,In-person,Internal HR,Dhaka Corporate Office,8,Completed,64,73,4,2105,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-NGJ-SAM-0031,Saiful Karim,Sales & Marketing,Officer,In-person,Internal HR,Dhaka Corporate Office,8,Completed,52,82,4.9,1845,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-DHK-SAM-0209,Ashik Mia,Sales & Marketing,Senior Officer,In-person,Internal HR,Dhaka Corporate Office,8,Completed,52,77,3.9,470,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-NGJ-ENG-0408,Ashik Akter,Engineering & Maintenance,Worker,In-person,Internal HR,Dhaka Corporate Office,8,Completed,50,52,3.1,2210,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-NGJ-PRD-0244,Md. Rahim Uddin,Production,Worker,In-person,Internal HR,Dhaka Corporate Office,8,Completed,57,79,4.5,1628,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-NGJ-PRD-0048,Monir Noor,Production,Senior Officer,In-person,Internal HR,Dhaka Corporate Office,8,Completed,52,72,3.4,1961,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-NGJ-PRD-0192,Priyanka Karim,Production,Junior Staff,In-person,Internal HR,Dhaka Corporate Office,8,Completed,59,77,5,1591,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-NGJ-PRD-0330,Sadia Chowdhury,Production,Executive,In-person,Internal HR,Dhaka Corporate Office,8,Completed,60,66,4.1,1760,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-DHK-CST-0056,Rakib Haque,Corporate Strategy,Officer,In-person,Internal HR,Dhaka Corporate Office,8,Completed,83,98,4.6,1976,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-NGJ-PRD-0226,Sabbir Chowdhury,Production,Worker,In-person,Internal HR,Dhaka Corporate Office,8,Completed,55,74,4.9,628,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-DHK-SAM-0170,Ashik Kabir,Sales & Marketing,Manager,In-person,Internal HR,Dhaka Corporate Office,8,Completed,52,77,4.8,2532,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-NGJ-PRD-0022,Shakil Khatun,Production,Worker,In-person,Internal HR,Dhaka Corporate Office,8,Completed,35,52,4.2,1532,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-GZP-SAM-0372,Asif Rashid,Sales & Marketing,Executive,In-person,Internal HR,Dhaka Corporate Office,8,Completed,45,61,3.5,646,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-CTG-ENG-0155,Imran Rahman,Engineering & Maintenance,Worker,In-person,Internal HR,Dhaka Corporate Office,8,Completed,54,64,4.3,358,Yes
TRN-001,Induction & Workplace Essentials,Onboarding,2025-04-22,MG-GZP-LGL-0498,Mst. Roksana Ahmed,Legal & Compliance,Senior Officer,In-person,Internal HR,Dhaka Corporate Office,8,Completed,51,68,4.3,992,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-NGJ-ENG-0327,Shuvo Hossain,Engineering & Maintenance,Officer,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,67,85,4.3,1028,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-CTG-PRD-0193,Tareq Mahmud,Production,Worker,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,59,67,3.8,2341,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-NGJ-SCL-0234,Shakil Bhuiyan,Supply Chain & Logistics,Officer,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,64,77,4.2,1347,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-CTG-ENG-0147,Mahmud Islam,Engineering & Maintenance,Junior Staff,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,75,93,3,566,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-DHK-HRA-0217,Priyanka Talukder,HR & Administration,Officer,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,43,63,4.2,696,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-CTG-SAM-0121,Imran Mia,Sales & Marketing,Officer,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,51,67,4.4,1104,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-DHK-CST-0152,Lubna Islam,Corporate Strategy,Junior Staff,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,76,93,3.8,539,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-DHK-CUS-0328,Shafiq Jahan,Customer Service,Senior Officer,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,48,75,4.3,2545,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-DHK-IT-0067,Kamrul Mia,Information Technology,Senior Officer,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,70,92,4.5,823,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-GZP-SAM-0027,Mehedi Noor,Sales & Marketing,Senior Manager,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,47,49,4.2,1866,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-DHK-HRA-0265,Jahid Karim,HR & Administration,Senior Officer,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,59,75,4.4,372,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-CTG-QAS-0405,Shakil Islam,Quality Assurance,Worker,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,76,98,4.6,1839,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-NGJ-QAS-0124,Zahid Rashid,Quality Assurance,Worker,In-person,External Consultant,Chattogram Distribution Hub,6,Not Completed,48,48,3.6,2252,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-GZP-SAM-0246,Mahmud Sarker,Sales & Marketing,Officer,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,84,98,4.8,2232,Yes
TRN-002,Bangladesh Labour Law Basics,Compliance,2025-02-03,MG-DHK-PRO-0343,Lubna Hossain,Procurement,Manager,In-person,External Consultant,Chattogram Distribution Hub,6,Completed,66,84,4.7,1915,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-NGJ-SAM-0291,Mim Mahmud,Sales & Marketing,Officer,In-person,External Consultant,Narayanganj Production Plant,6,Completed,83,93,4.2,2349,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-NGJ-PRD-0115,Fahim Karim,Production,Officer,In-person,External Consultant,Narayanganj Production Plant,6,Completed,60,74,4.4,2395,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-GZP-SAM-0284,Nazmul Talukder,Sales & Marketing,Executive,In-person,External Consultant,Narayanganj Production Plant,6,Completed,67,86,4.5,1909,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-GZP-PRD-0272,Arif Rashid,Production,Worker,In-person,External Consultant,Narayanganj Production Plant,6,Completed,72,79,4.1,1068,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-GZP-PRD-0390,Mahmud Sarker,Production,Executive,In-person,External Consultant,Narayanganj Production Plant,6,Completed,71,87,3.8,2193,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-RAJ-SAM-0223,Kamrul Kabir,Sales & Marketing,Junior Staff,In-person,External Consultant,Narayanganj Production Plant,6,Completed,57,74,4.3,486,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-NGJ-PRD-0024,Sabbir Kabir,Production,Worker,In-person,External Consultant,Narayanganj Production Plant,6,Completed,60,83,3.9,2094,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-GZP-PRD-0409,Hasan Karim,Production,Worker,In-person,External Consultant,Narayanganj Production Plant,6,Completed,62,66,4.3,1258,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-NGJ-CUS-0276,Sabbir Karim,Customer Service,Executive,In-person,External Consultant,Narayanganj Production Plant,6,Completed,80,98,3.3,1714,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-NGJ-PRD-0120,Nazmul Noor,Production,Worker,In-person,External Consultant,Narayanganj Production Plant,6,Completed,81,90,4.1,1966,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-GZP-SAM-0105,Faria Hasan,Sales & Marketing,Manager,In-person,External Consultant,Narayanganj Production Plant,6,Completed,54,64,3.9,1260,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-DHK-SAM-0007,Tareq Akter,Sales & Marketing,Junior Staff,In-person,External Consultant,Narayanganj Production Plant,6,Completed,52,63,4.4,944,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-GZP-ENG-0035,Arif Rahman,Engineering & Maintenance,Junior Staff,In-person,External Consultant,Narayanganj Production Plant,6,Completed,67,83,4.9,2569,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-RAJ-QAS-0049,Shakil Chowdhury,Quality Assurance,Manager,In-person,External Consultant,Narayanganj Production Plant,6,Completed,65,72,4,416,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-NGJ-PRD-0451,Sabbir Rahman,Production,Officer,In-person,External Consultant,Narayanganj Production Plant,6,Completed,60,82,5,2593,Yes
