employee_id,employee_name,gender,age,age_band,division_of_origin,disability_status,education,department,department_key,cost_center,job_title,job_level,employment_type,location,location_key,join_date,exit_date,employment_status,manager,monthly_gross_bdt
MG-CTG-CST-0229,Afroza Islam,Female,36,35-44,Chattogram,No,Master,Corporate Strategy,corporate_strategy,CC-112,Senior Strategy Officer,Senior Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-12-04,,Active at FY2025 year-end,Anika Tasnim,57000
MG-CTG-CST-0318,Raisa Ferdous,Female,41,35-44,Barishal,Yes,Bachelor,Corporate Strategy,corporate_strategy,CC-112,Senior Strategy Officer,Senior Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2021-07-05,,Active at FY2025 year-end,Anika Tasnim,74500
MG-CTG-CUS-0066,Nusrat Alam,Female,44,35-44,Sylhet,No,Bachelor,Customer Service,customer_service,CC-110,Service Quality Executive,Executive,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-09-02,,Active at FY2025 year-end,Jannatul Ferdous,74000
MG-CTG-ENG-0081,Nadia Jahan,Female,43,35-44,Dhaka,No,Master,Engineering & Maintenance,engineering_and_maintenance,CC-107,Senior Manager - Engineering,Senior Manager,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2018-04-23,,Active at FY2025 year-end,Md. Moniruzzaman,178500
MG-CTG-ENG-0147,Mahmud Islam,Male,22,Under 25,Rajshahi,No,Bachelor,Engineering & Maintenance,engineering_and_maintenance,CC-107,Technical Assistant,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2021-10-10,,Active at FY2025 year-end,Md. Moniruzzaman,40000
MG-CTG-ENG-0155,Imran Rahman,Male,,,,,,Engineering & Maintenance,engineering_and_maintenance,CC-107,Electrician,Worker,,Chattogram Distribution Hub,chattogram_distribution_hub,2022-08-17,2025-09-21,Separated during FY2025,Rakibul Hasan,
MG-CTG-FIN-0062,Imran Alam,Male,20,Under 25,Rajshahi,No,Trade Certificate,Finance & Accounts,finance_and_accounts,CC-104,Accounts Support Assistant,Worker,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-11-10,,Active at FY2025 year-end,Shafiqur Rahman,22000
MG-CTG-HRA-0220,Sumaiya Khatun,Female,45,45+,Dhaka,No,Master,HR & Administration,hr_and_administration,CC-105,HR Executive,Executive,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-02-28,,Active at FY2025 year-end,Md. Imran Hossain,94000
MG-CTG-PRD-0023,Jahid Karim,Male,30,25-34,Barishal,No,HSC,Production,production,CC-101,Production Assistant,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2016-08-14,,Active at FY2025 year-end,Abdul Karim,31000
MG-CTG-PRD-0193,Tareq Mahmud,Male,29,25-34,Rajshahi,No,HSC,Production,production,CC-101,Production Operator,Worker,Contract,Chattogram Distribution Hub,chattogram_distribution_hub,2020-03-14,,Active at FY2025 year-end,Abdul Karim,26500
MG-CTG-PRD-0206,Hasan Kabir,Male,32,25-34,Chattogram,No,Bachelor,Production,production,CC-101,Shift Supervisor,Senior Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-08-18,,Active at FY2025 year-end,Abdul Karim,73500
MG-CTG-PRD-0249,Ashik Hasan,Male,,,,,,Production,production,CC-101,Packing Assistant,Worker,,Chattogram Distribution Hub,chattogram_distribution_hub,2021-04-24,2025-06-15,Separated during FY2025,Abdul Karim,
MG-CTG-PRD-0294,Rashed Khatun,Male,,,,,,Production,production,CC-101,Head of Manufacturing,Head,,Chattogram Distribution Hub,chattogram_distribution_hub,2023-06-23,2025-04-06,Separated during FY2025,Md. Shahidul Islam,
MG-CTG-PRD-0332,Asif Alam,Male,,,,,,Production,production,CC-101,Production Assistant,Junior Staff,,Chattogram Distribution Hub,chattogram_distribution_hub,2022-08-01,2025-07-17,Separated during FY2025,Md. Shahidul Islam,
